#{"t_start": 1743997417.6077805, "env_id": "None"}
r,l,t
-23821.048833,8759,190.908723
-22553.93372,8759,379.015709
-22391.026546,8759,565.777228
-22362.916877,8759,751.345663
-22450.821628,8759,935.92719
