#{"t_start": 1744053726.6099184, "env_id": "None"}
r,l,t
-11796.172276,8759,120.47124
-11293.669632,8759,237.774728
-11200.79331,8759,355.758099
-11156.195269,8759,472.973178
-11219.373128,8759,590.293103

