cost_function,value,name,level
all_time_peak_average,0.881383378347029,District,district
carbon_emissions_total,0.9967733164759384,District,district
cost_total,0.943439853399425,District,district
daily_one_minus_load_factor_average,0.9775635428258083,District,district
daily_peak_average,0.9435950878964585,District,district
electricity_consumption_total,1.0009589637906042,District,district
monthly_one_minus_load_factor_average,0.9840390508267475,District,district
ramping_average,1.115386623593084,District,district
zero_net_energy,1.0394613564833435,District,district
electricity_consumption_total,1.021885902030973,Building_2,building
zero_net_energy,1.0753599635034636,Building_2,building
carbon_emissions_total,1.0145312363265697,Building_2,building
cost_total,0.8833115297773506,Building_2,building
electricity_consumption_total,1.0005078353916497,Building_5,building
zero_net_energy,1.0100628545669625,Building_5,building
carbon_emissions_total,0.9993182922333727,Building_5,building
cost_total,0.9932001810029825,Building_5,building
electricity_consumption_total,0.9914174367767707,Building_8,building
zero_net_energy,1.026123351181771,Building_8,building
carbon_emissions_total,0.9921202953333191,Building_8,building
cost_total,0.9866222247265525,Building_8,building
electricity_consumption_total,0.9900246809630235,Building_10,building
zero_net_energy,1.0462992566811764,Building_10,building
carbon_emissions_total,0.9811234420104921,Building_10,building
cost_total,0.9106254780908146,Building_10,building
