cost_function,value,name,level
all_time_peak_average,1.4171728845159273,District,district
carbon_emissions_total,1.0197380067571766,District,district
cost_total,0.9681051418314442,District,district
daily_one_minus_load_factor_average,1.0246496696123533,District,district
daily_peak_average,1.2445555637062364,District,district
electricity_consumption_total,1.0071874719464042,District,district
monthly_one_minus_load_factor_average,1.019506872692814,District,district
ramping_average,1.7360968112086481,District,district
zero_net_energy,1.1591508504262538,District,district
electricity_consumption_total,0.9871968471574226,Building_2,building
zero_net_energy,1.128201403339573,Building_2,building
carbon_emissions_total,0.997653824835003,Building_2,building
cost_total,0.9321150106266244,Building_2,building
electricity_consumption_total,1.0797479494093005,Building_5,building
zero_net_energy,1.1738014642642989,Building_5,building
carbon_emissions_total,1.101903592624038,Building_5,building
cost_total,1.0244079590445692,Building_5,building
electricity_consumption_total,0.9865133390698178,Building_8,building
zero_net_energy,1.2455737504862858,Building_8,building
carbon_emissions_total,0.9977160126519538,Building_8,building
cost_total,0.9550104215210778,Building_8,building
electricity_consumption_total,0.9752917521490765,Building_10,building
zero_net_energy,1.0890267836148573,Building_10,building
carbon_emissions_total,0.9816785969177118,Building_10,building
cost_total,0.9608871761335055,Building_10,building
