#{"t_start": 1744053544.2979422, "env_id": "None"}
r,l,t
-13574.523873,8759,37.464018
-11416.401166,8759,73.426458
-9836.408329,8759,109.433811
-8758.582538,8759,146.072986
-7989.153654,8759,181.93604
