cost_function,value,name,level
all_time_peak_average,0.9923501278719725,District,district
carbon_emissions_total,0.9639933697544676,District,district
cost_total,0.9082240249858322,District,district
daily_one_minus_load_factor_average,0.9795913080822831,District,district
daily_peak_average,0.9277124590638005,District,district
electricity_consumption_total,0.9702504437534358,District,district
monthly_one_minus_load_factor_average,0.9850056533519129,District,district
ramping_average,1.0454681580005318,District,district
zero_net_energy,1.0895090230193971,District,district
electricity_consumption_total,0.9994053517851571,Building_2,building
zero_net_energy,1.001877633758943,Building_2,building
carbon_emissions_total,0.9993448077552011,Building_2,building
cost_total,0.9990769916270612,Building_2,building
electricity_consumption_total,0.9850441216932739,Building_5,building
zero_net_energy,1.0389674566968286,Building_5,building
carbon_emissions_total,0.9839956460837823,Building_5,building
cost_total,0.9621234393979875,Building_5,building
electricity_consumption_total,0.9678085453634021,Building_6,building
zero_net_energy,1.0548045974601974,Building_6,building
carbon_emissions_total,0.9596669424648412,Building_6,building
cost_total,0.8979152873545183,Building_6,building
electricity_consumption_total,0.9883749806240674,Building_7,building
zero_net_energy,1.2562406855541886,Building_7,building
carbon_emissions_total,0.9824775688007295,Building_7,building
cost_total,0.9320619433028203,Building_7,building
electricity_consumption_total,0.9953604212804853,Building_8,building
zero_net_energy,1.1333403225148553,Building_8,building
carbon_emissions_total,0.9904984985521001,Building_8,building
cost_total,0.9069331864673332,Building_8,building
electricity_consumption_total,0.9513445898042905,Building_10,building
zero_net_energy,1.0471963156857116,Building_10,building
carbon_emissions_total,0.9405589178336039,Building_10,building
cost_total,0.8744368258805665,Building_10,building
electricity_consumption_total,0.9800941041593451,Building_13,building
zero_net_energy,1.0623884015867762,Building_13,building
carbon_emissions_total,0.977041908859193,Building_13,building
cost_total,0.897077490356645,Building_13,building
electricity_consumption_total,0.894571435317465,Building_16,building
zero_net_energy,1.1212567708976762,Building_16,building
carbon_emissions_total,0.8783626676862898,Building_16,building
cost_total,0.7961670354997259,Building_16,building
