cost_function,value,name,level
all_time_peak_average,1.4668350657431215,District,district
carbon_emissions_total,1.0106483514846702,District,district
cost_total,0.9775065235813358,District,district
daily_one_minus_load_factor_average,1.035131351809169,District,district
daily_peak_average,1.426359948059889,District,district
electricity_consumption_total,1.0132432300009138,District,district
monthly_one_minus_load_factor_average,1.014431832305255,District,district
ramping_average,1.5226999026755268,District,district
zero_net_energy,1.0930756272592599,District,district
electricity_consumption_total,1.019897162051092,Building_2,building
zero_net_energy,1.064983313893371,Building_2,building
carbon_emissions_total,1.016801801676962,Building_2,building
cost_total,0.9767837129753971,Building_2,building
electricity_consumption_total,1.0159444730591434,Building_5,building
zero_net_energy,1.0754701811742138,Building_5,building
carbon_emissions_total,1.0138620029670864,Building_5,building
cost_total,0.9801821421465536,Building_5,building
electricity_consumption_total,0.9890197070110609,Building_6,building
zero_net_energy,1.059179464657362,Building_6,building
carbon_emissions_total,0.9840077557713433,Building_6,building
cost_total,0.9592467870803119,Building_6,building
electricity_consumption_total,1.0489120487372168,Building_7,building
zero_net_energy,1.2232881765930381,Building_7,building
carbon_emissions_total,1.047216351035145,Building_7,building
cost_total,1.005031404269978,Building_7,building
electricity_consumption_total,0.990819161625233,Building_8,building
zero_net_energy,1.1244821214226368,Building_8,building
carbon_emissions_total,0.9885508775006557,Building_8,building
cost_total,0.9556821328794438,Building_8,building
electricity_consumption_total,1.0111239481253034,Building_10,building
zero_net_energy,1.0441232499726611,Building_10,building
carbon_emissions_total,1.0095161788996878,Building_10,building
cost_total,0.9876478332844939,Building_10,building
electricity_consumption_total,1.0247050354435827,Building_13,building
zero_net_energy,1.0595499011292793,Building_13,building
carbon_emissions_total,1.0227029977007949,Building_13,building
cost_total,0.9825509721383763,Building_13,building
electricity_consumption_total,1.0055243039546788,Building_16,building
zero_net_energy,1.093528609231517,Building_16,building
carbon_emissions_total,1.002528846325687,Building_16,building
cost_total,0.972927203876132,Building_16,building
