#{"t_start": 1744054674.963805, "env_id": "None"}
r,l,t
-6578.200537,8759,101.386402
-6043.107729,8759,196.404912
-6003.439649,8759,292.488
-5896.929775,8759,394.614435
-5975.244099,8759,495.986733
